Source Cell ID,Lat,Long,,Taget Cell ID,Lat,Long
KHR875_B,30.75786,76.64825,,ALM199_A,30.26145,74.42104
KHR875_C,30.75786,76.64825,,ALM199_B,30.26145,74.42104
ATR835_A,31.59694,74.60838,,ALM464_A,30.12444,74.15539
ATR835_B,31.59694,74.60838,,ALM464_B,30.12444,74.15539
ATR835_C,31.59694,74.60838,,ALMP62_A,31.74382,75.58347
DTN131_A,31.37595,75.00083,,ALMP62_B,31.74382,75.58347
DTN131_B,31.37595,75.00083,,ALO231_A,30.43512,76.2896
DTN131_C,31.37595,75.00083,,ALO231_B,30.43512,76.2896
GAGO71_A,31.43727,74.73655,,ALPR09_A,29.66935,75.31536
GAGO71_B,31.43727,74.73655,,ALPR09_B,29.66935,75.31536
GAGO71_C,31.43727,74.73655,,ALPR15_A,31.00915,74.90145
LNGY25_A,31.10875,76.16989,,ALPR15_B,31.00915,74.90145
LNGY25_B,31.10875,76.16989,,ALPR61_A,30.80083,76.62881
LNGY25_C,31.10875,76.16989,,ALPR61_B,30.80083,76.62881
RAL891_C,30.11708,75.43597,,ALR915_A,30.80479,75.86089
SHUT25_A,30.96947,75.86383,,ALR915_B,30.80479,75.86089
SHUT25_B,30.96947,75.86383,,ALS101_A,30.12619,75.49755
SHUT25_C,30.96947,75.86383,,ALS101_B,30.12619,75.49755
CHL327_A,31.25466,74.99602,,ALWL41_A,31.82921,75.11429
CHL327_B,31.25466,74.99602,,ALWL41_B,31.82921,75.11429
CHL327_C,31.25466,74.99602,,ALWL42_A,31.84051,75.10648
JLN193_A,31.28016,75.56956,,ALWL42_B,31.84051,75.10648
JLN193_B,31.28016,75.56956,,ALWL51_A,30.91464,74.64989
JLN193_C,31.28016,75.56956,,ALWL51_B,30.91464,74.64989
PTL222_C,30.33911,76.35651,,AMAR07_A,30.46077,76.01393
CHR269_A,31.25768,75.70706,,AMAR07_B,30.46077,76.01393
CHR269_B,31.25768,75.70706,,AMDP77_A,31.49804,75.95285
CHR269_C,31.25768,75.70706,,AMDP77_B,31.49804,75.95285
AMS666_A,31.59234,74.89125,,AMGR97_A,30.57146,75.8797
AMS666_B,31.59234,74.89125,,AMGR97_B,30.57146,75.8797
AMS666_C,31.59234,74.89125,,AML011_A,30.60833,76.23449
BMN875_A,30.91673,75.93505,,AML011_B,30.60833,76.23449
BMN875_B,30.91673,75.93505,,AMLA67_A,30.42742,75.56968
BMN875_C,30.91673,75.93505,,AMLA67_B,30.42742,75.56968
BALI56_A,30.71837,76.67645,,AMLH06_A,30.60662,76.23052
BALI56_B,30.71837,76.67645,,AMLH06_B,30.60662,76.23052
BALI56_C,30.71837,76.67645,,AMLH63_A,30.61332,76.23033
LUD807_A,30.94414,75.89152,,AMLH63_B,30.61332,76.23033
LUD807_B,30.94414,75.89152,,AMLH70_A,30.61187,76.23267
LUD807_C,30.94414,75.89152,,AMLH70_B,30.61187,76.23267
MGR121_A,30.64065,76.31477,,AMLH87_A,30.60163,76.23296
MGR121_B,30.64065,76.31477,,AMLH87_B,30.60163,76.23296
MGR121_C,30.64065,76.31477,,AMNT97_A,31.50999,74.69749
MOHX83_A,30.69866,76.71224,,AMNT97_B,31.50999,74.69749
MOHX83_B,30.69866,76.71224,,AMPR17_A,31.15688,76.48903
MOHX83_C,30.69866,76.71224,,AMPR17_B,31.15688,76.48903
MOBL12_A,30.92297,74.62545,,AMPR56_A,30.03904,74.203
MOBL12_B,30.92297,74.62545,,AMPR56_B,30.03904,74.203
MOBL12_C,30.92297,74.62545,,AMR784_A,31.26197,74.63985
CHDH91_A,30.77107,76.78613,,AMR784_B,31.26197,74.63985
CHDH91_B,30.77107,76.78613,,AMRH30_A,31.86425,75.93971
CHDH91_C,30.77107,76.78613,,AMRH30_B,31.86425,75.93971
JLNR94_A,31.28931,75.55612,,AMS007_A,31.62231,74.85387
JLNR94_B,31.28931,75.55612,,AMS007_B,31.62231,74.85387
JLNR94_C,31.28931,75.55612,,AMS050_A,31.66861,74.92844
KHAR34_A,31.26668,76.30518,,AMS050_B,31.66861,74.92844
KHAR34_B,31.26668,76.30518,,AMS088_A,31.60352,74.88212
KHAR34_C,31.26668,76.30518,,AMS088_B,31.60352,74.88212
CHDS63_A,30.76291,76.78122,,AMS101_A,31.63964,74.82668
CHDS63_B,30.76291,76.78122,,AMS101_B,31.63964,74.82668
CHDS63_C,30.76291,76.78122,,AMS104_A,31.60056,74.88185
MHL415_A,31.9429,75.6279,,AMS104_B,31.60056,74.88185
MHL415_B,31.9429,75.6279,,AMS110_A,31.59002,74.95033
MHL415_C,31.9429,75.6279,,AMS110_B,31.59002,74.95033
MLOT91_A,30.1871,74.49117,,AMS112_A,31.6282,74.8039
MLOT91_B,30.1871,74.49117,,AMS112_B,31.6282,74.8039
MLOT91_C,30.1871,74.49117,,AMS118_A,31.60894,74.869
RHPR77_A,31.27413,75.64464,,AMS118_B,31.60894,74.869
RHPR77_B,31.27413,75.64464,,AMS120_A,31.60961,74.89737
RHPR77_C,31.27413,75.64464,,AMS120_B,31.60961,74.89737
MGG930_A,30.667301,76.309688,,AMS121_A,31.6443,74.85939
MGG930_B,30.667301,76.309688,,AMS121_B,31.6443,74.85939
MGG930_C,30.667301,76.309688,,AMS130_A,31.64464,74.88377
BTND58_A,30.17506,74.94562,,AMS130_B,31.64464,74.88377
BTND58_B,30.17506,74.94562,,AMS131_A,31.68801,74.88466
BTND58_C,30.17506,74.94562,,AMS131_B,31.68801,74.88466
DBU412_A,31.50035,74.90217,,AMS134_A,31.57879,74.95733
DBU412_B,31.50035,74.90217,,AMS134_B,31.57879,74.95733
DBU412_C,31.50035,74.90217,,AMS135_A,31.70041,74.81988
KIL789_A,30.81273,75.36477,,AMS135_B,31.70041,74.81988
KIL789_B,30.81273,75.36477,,AMS139_A,31.6469,74.82138
LUD928_A,30.91454,75.89033,,AMS139_B,31.6469,74.82138
LUD928_B,30.91454,75.89033,,AMS141_A,31.67681,74.83729
LUD928_C,30.91454,75.89033,,AMS141_B,31.67681,74.83729
MOHA04_A,30.74573,76.70509,,AMS142_A,31.61439,74.8835
MOHA04_B,30.74573,76.70509,,AMS142_B,31.61439,74.8835
MOHA04_C,30.74573,76.70509,,AMS143_A,31.63351,74.88341
MOHS78_A,30.66624,76.74397,,AMS143_B,31.63351,74.88341
MOHS78_B,30.66624,76.74397,,AMS144_A,31.63111,74.86785
MOHS78_C,30.66624,76.74397,,AMS144_B,31.63111,74.86785
PKLS62_A,30.66445,76.88883,,AMS146_A,31.60554,74.93737
PKLS62_B,30.66445,76.88883,,AMS146_B,31.60554,74.93737
PKLS62_C,30.66445,76.88883,,AMS149_A,31.61736,74.88081
RJPR36_A,30.46544,76.57605,,AMS149_B,31.61736,74.88081
RJPR36_B,30.46544,76.57605,,AMS150_A,31.62325,74.86804
RJPR36_C,30.46544,76.57605,,AMS150_B,31.62325,74.86804
BMN836_A,30.92148,75.91878,,AMS155_A,31.62285,74.90298
BMN836_B,30.92148,75.91878,,AMS155_B,31.62285,74.90298
BMN836_C,30.92148,75.91878,,AMS157_A,31.62581,74.79192
BNA417_A,31.30581,74.99905,,AMS157_B,31.62581,74.79192
BNA417_B,31.30581,74.99905,,AMS159_A,31.60416,74.86454
BNA417_C,31.30581,74.99905,,AMS159_B,31.60416,74.86454
MOHX04_A,30.66804,76.70246,,AMS161_A,31.60043,74.85963
MOHX04_B,30.66804,76.70246,,AMS161_B,31.60043,74.85963
MOHX04_C,30.66804,76.70246,,AMS162_A,31.61951,74.88448
SUR459_A,31.39832,74.71581,,AMS162_B,31.61951,74.88448
SUR459_B,31.39832,74.71581,,AMS162_C,31.61951,74.88448
SUR459_C,31.39832,74.71581,,AMS163_A,31.65379,74.88777
BZKN34_A,30.45999,74.98264,,AMS163_B,31.65379,74.88777
BZKN34_B,30.45999,74.98264,,AMS164_A,31.61687,74.90377
BZKN34_C,30.45999,74.98264,,AMS164_B,31.61687,74.90377
CHD380_A,30.78021,76.79637,,AMS166_A,31.63408,74.81666
CHD380_B,30.78021,76.79637,,AMS166_B,31.63408,74.81666
CHD380_C,30.78021,76.79637,,AMS168_A,31.60456,74.91104
SING74_A,30.88767,76.55289,,AMS168_B,31.60456,74.91104
SING74_B,30.88767,76.55289,,AMS169_A,31.61108,74.87081
SING74_C,30.88767,76.55289,,AMS169_B,31.61108,74.87081
THPR26_A,30.56994,76.89268,,AMS186_A,31.65708,74.87259
THPR26_B,30.56994,76.89268,,AMS186_B,31.65708,74.87259
THPR26_C,30.56994,76.89268,,AMS187_A,31.64466,74.87174
ZRPR76_A,30.65039,76.82573,,AMS187_B,31.64466,74.87174
ZRPR76_B,30.65039,76.82573,,AMS189_A,31.66702,74.86372
ZRPR76_C,30.65039,76.82573,,AMS189_B,31.66702,74.86372
ZRPR87_A,30.65453,76.85843,,AMS191_A,31.66401,74.87394
ZRPR87_B,30.65453,76.85843,,AMS191_B,31.66401,74.87394
ZRPR87_C,30.65453,76.85843,,AMS192_A,31.66294,74.85364
AMS445_A,31.64707,74.81616,,AMS192_B,31.66294,74.85364
AMS445_B,31.64707,74.81616,,AMS193_A,31.62389,74.82896
AMS445_C,31.64707,74.81616,,AMS193_B,31.62389,74.82896
MOH172_A,30.68979,76.72363,,AMS194_A,31.60537,74.85122
MOH172_B,30.68979,76.72363,,AMS194_B,31.60537,74.85122
MOH172_C,30.68979,76.72363,,AMS197_A,31.66204,74.89449
PKLZ14_A,30.71946,76.82852,,AMS197_B,31.66204,74.89449
PKLZ14_B,30.71946,76.82852,,AMS197_C,31.66204,74.89449
